persnum1,tcinpsty
0006,018300
0007,003800
0008,005900
0008,003300
0011,001300
0012,000700
0012,001400
0012,001400
0013,004300
0013,002200
0013,007300
0013,004900
0014,001400
0014,003100
0014,004200
0014,005100
0014,002700
0014,000300
0014,004100
0014,005000
0015,004300
0016,002900
0016,002500
0016,005300
0016,002200
0017,022200
0017,002000
0017,006100
0017,003300
0018,008900
0018,005000
0020,004500
0020,014100
0020,002900
0020,003500
0020,002800
0021,005100
0021,001600
0024,056600
0024,048100
0024,144500
0024,020200
0025,001400
0026,006500
0026,009300
0026,005100
0026,013400
0026,010200
0026,006300
0026,012700
0026,046000
0026,002200
0028,004400
0028,004000
0028,005900
0028,008700
0028,006400
0028,033300
0030,006400
0030,006700
0030,002300
0030,009800
0031,005600
0031,002800
0031,007700
0031,002500
0031,002900
0033,006100
0033,009100
0033,004900
0033,010400
0034,002500
0034,005400
0034,001600
0034,005000
0036,002800
0036,006100
0036,010100
0036,006600
0036,002600
0036,011200
0036,005200
0038,015600
0038,012000
0039,004400
0039,002900
0039,004800
0039,006700
0041,002500
0041,003400
0042,003300
0042,003400
0042,001500
0042,003100
0042,003600
0042,007000
0042,007100
0042,011100
0042,001600
0042,011200
0042,001600
0043,003800
0043,010700
0043,006700
0043,005900
0043,001400
0044,001200
0044,002000
0045,010300
0047,001700
0047,017000
0048,005100
0049,016300
0049,003100
0049,003100
0049,005800
0049,010700
0049,002700
0049,002500
0049,003000
0049,003200
0050,007100
0052,006900
0052,003700
0052,004800
0053,001700
0053,001800
0053,005000
0053,003100
0053,003200
0053,004300
0053,001800
0053,001800
0053,001800
0053,005200
0053,003700
0053,003600
0053,003800
0053,001700
0053,001900
0053,011200
0053,016200
0053,011400
0053,006300
0053,015200
0053,002000
0053,004600
0053,007300
0053,011400
0053,006300
0053,015200
0053,003000
0053,002000
0053,004600
0053,007300
0054,000400
0054,016000
0054,002700
0056,001800
0056,002500
0056,002900
0057,000900
0057,015500
0058,003300
0058,008300
0058,001600
0058,003700
0058,005100
0058,010400
0058,004500
0059,000800
0059,009400
0059,003800
0059,012200
0061,005900
0061,005300
0063,006700
0063,007400
0063,008900
0063,007000
0063,003500
0064,001700
0064,002700
0064,003000
0064,009100
0064,001200
0065,002900
0065,034100
0066,001100
0066,020600
0067,013900
0068,003600
0068,005300
0068,015500
0068,026300
0068,005700
0068,008300
0068,007800
0069,007000
0069,012400
0074,003500
0074,003800
0074,039200
0074,004700
0074,010900
0075,006500
0075,006500
0076,004100
0076,004100
0078,013300
0080,008900
0080,006300
0080,008700
0080,001600
0081,002100
0081,003900
0081,002900
0081,009100
0081,005400
0081,002600
0084,003400
0085,004400
0085,006400
0085,011400
0086,002300
0086,004700
0086,003800
0086,004900
0086,011600
0086,005000
0086,035900
0088,014200
0090,011500
0091,033100
0092,042000
0092,029700
0092,008800
0093,003000
0093,003700
0093,019000
0093,006100
0095,026200
0095,012600
0096,002400
0096,002400
0098,000800
0098,028400
0098,005100
0099,004200
0099,004200
0099,004500
0099,004500
0099,001100
0099,001100
0099,001800
0099,001800
0099,012000
0100,001900
0100,010700
0100,003900
0101,008500
0101,003400
0104,010600
0104,002600
0108,004200
0109,005500
0109,006100
0109,004100
0109,006600
0109,008300
0109,001200
0109,011900
0110,002700
0110,001200
0110,002200
0112,017300
0113,001800
