pnum2,tcinpsty
0006,18300
0007,3800
0008,9200
0011,1300
0012,3500
0013,18700
0014,25900
0015,4300
0016,12900
0017,33600
0018,13900
0020,27800
0021,6700
0024,269400
0025,1400
0026,111700
0028,62700
0030,25200
0031,21500
0033,30500
0034,14500
0036,44600
0038,27600
0039,18800
0041,5900
0042,54500
0043,28500
0044,3200
0045,10300
0047,18700
0048,5100
0049,50400
0050,7100
0052,15400
0053,168400
0054,19100
0056,7200
0057,16400
0058,36900
0059,26200
0061,11200
0063,33500
0064,17700
0065,37000
0066,21700
0067,13900
0068,72500
0069,19400
0074,62100
0075,13000
0076,8200
0078,13300
0080,25500
0081,26000
0084,3400
0085,22200
0086,68200
0088,14200
0090,11500
0091,33100
0092,80500
0093,31800
0095,38800
0096,4800
0098,34300
0099,35200
0100,16500
0101,11900
0104,13200
0108,4200
0109,43700
0110,6100
0112,17300
0113,26200
0114,18200
0115,4200
0117,40400
0120,30400
0121,3300
0122,50000
0123,5000
0124,12400
0125,18700
0127,2400
0128,27100
0129,13400
0130,76100
0133,3100
0134,63300
0135,6500
0136,4600
0139,7800
0141,85200
0142,38000
0145,64900
0146,58400
0148,125200
0151,6800
0152,5400
0153,13800
0154,70000
0155,27700
0160,49700
0161,2100
0163,13100
0164,13100
0166,7900
0168,52100
0171,2300
0173,7200
0175,9800
0176,54200
0177,35400
0179,7400
0181,19200
0184,31100
0185,1200
0186,2900
0187,33800
0188,37300
0189,33500
0190,3600
0192,61800
0195,7700
0197,18000
0199,2400
0204,99700
0208,6700
0210,5400
0211,2000
0212,11600
0214,44800
0215,7500
0216,20800
0219,87800
0220,49300
0224,36900
0225,6600
0228,21200
0229,18500
0230,31900
0231,3200
0232,15800
0233,11400
0234,16800
0235,62000
0236,8100
0237,12800
0238,47100
0240,25400
0244,30400
0245,22500
0246,16000
0251,73100
0252,63500
0253,5000
0254,1300
0256,2200
0259,2700
0260,8700
0261,107400
0263,11000
0264,21500
0267,22200
0268,49400
0270,33800
0274,5000
0275,42300
0276,35900
0277,1000
0278,98900
0281,4300
0284,3100
0286,6800
0287,18800
0288,9700
0289,19100
0290,5100
0292,16200
0293,3600
0297,15800
0299,4000
0301,4700
0302,2900
0303,800
0304,7500
0305,5900
0306,9400
0307,22000
0308,9500
0309,1900
0312,30400
0316,5300
0322,2600
0323,8200
0324,8600
0325,33100
0326,1800
0327,9700
0329,2400
0330,32000
0331,1700
0333,6500
0335,4000
0336,7200
0337,3800
0338,5300
0339,1000
0342,26000
0343,73100
0345,13900
0346,6100
0347,1900
0348,23500
0350,800
0351,4200
0352,2100
0353,7500
0355,11900
0357,1600
0362,1800
0363,9800
0364,22700
0367,47700
0368,9800
0370,8500
0371,24200
0372,6600
0373,25800
0374,66000
0375,14300
0376,2300
0378,5200
0379,34000
0380,8900
0382,21100
0383,4000
0384,16500
0385,14100
0386,49600
0387,9500
0388,2800
0389,26600
0390,17100
0391,15200
0392,46700
0394,18200
0397,19500
0398,10000
0399,11500
0400,12800
0403,6600
0404,5500
0405,53700
0408,14400
0410,14800
0412,17100
0413,4500
0417,45500
0418,8500
0420,30600
0421,37700
0422,78500
0423,10200
0424,10000
0426,7100
0427,8000
0428,1200
0429,8800
0431,8400
0433,9000
0435,18900
0436,28200
0443,14300
0444,6200
0445,10300
0446,5200
0448,5200
0449,12700
0451,33000
0452,20200
0453,22600
0457,32500
0458,11100
0465,17700
0466,15900
0468,81000
0469,14100
0470,2700
0472,11600
0475,34000
0479,8500
0481,21600
0483,13100
0486,7800
0487,15200
0488,23900
0489,6400
0490,12000
0491,1100
0492,12000
0495,7600
0496,2500
0498,3900
0499,15600
0501,17800
0503,8100
0505,9400
0506,14600
0509,2200
0510,13400
0511,7800
0512,26300
0513,37700
0514,28600
0515,53200
0518,600
0522,3400
0523,51500
0525,31200
0526,7200
0528,2800
0529,6000
0531,1200
0532,3700
0534,5200
0535,7300
0536,22100
0538,91500
0540,51300
0541,8600
0542,24400
0543,15600
0546,33500
0548,13200
0550,7800
0551,13600
0552,12800
0554,32300
0561,54100
0564,18600
0566,14600
0568,30100
0569,6200
0570,22600
0571,49500
0573,6000
0574,18800
0576,1600
0578,44700
0580,10000
0581,1600
0585,13500
0586,16600
0591,26600
0592,44200
0596,7600
0597,27500
0600,18100
0601,2100
0604,3200
0605,16700
0606,2800
0608,40200
0610,5400
0611,10700
0612,35200
0613,13100
0616,8800
0621,12700
0622,16600
0623,12600
0627,35800
0631,44900
0639,3200
0642,16300
0643,6000
0645,20300
0647,2200
0649,14400
0651,51300
0656,3700
0657,9400
0661,6400
0665,30500
0669,37600
0672,8100
0674,24200
0675,2400
0676,45300
0677,5400
0678,20200
0682,5300
0684,11600
0687,16900
0688,16000
0689,48200
0691,2100
0693,16100
0694,12900
0695,7300
0696,131400
0701,33500
0703,16800
0704,66700
0707,37200
0708,9500
0710,7900
0711,3200
0712,33000
0714,47800
0715,6800
0716,8500
0717,2400
0718,2900
0719,2900
0720,9100
0721,600
0723,17400
0724,81100
0725,22200
0729,14100
0733,2900
0734,12500
0735,15400
0736,2700
0737,9400
0738,14400
0739,7100
0740,18900
0741,19700
0742,21900
0743,11800
0744,20800
0745,35300
0748,3400
0749,13000
0751,10100
0752,18000
0753,57300
0755,7000
0757,15000
0758,5000
0760,16800
0761,8100
0762,2600
0763,18800
0765,22100
0767,30900
0768,1900
0770,8700
0772,59900
0773,2700
0779,144000
0781,9200
0783,7000
0789,15200
0792,46300
0793,18200
0794,12000
0796,16500
0798,4100
0799,26700
0800,5500
0805,103300
0806,110500
0807,45400
0808,99100
0809,3100
0812,27900
0814,15200
0815,7100
0816,33200
0817,14700
0820,71100
0821,17300
0824,72900
0825,4400
0826,33800
0827,42600
0829,5300
0833,1800
0834,14300
0838,10700
0839,4400
0841,12100
